Australian dollar
Brazilian real
Canadian dollar
Swiss franc
Chilean peso
Renminbi
Czech koruna
Euro
Pound sterling
Hungarian forint
Indonesian rupiah
Israeli new shekel
Indian rupee
Japanese yen
South Korean won
Mexican peso
Malaysian ringgit
Norwegian krone
New Zealand dollar
Philippine peso
Polish zloty
Romanian leu
Russian ruble
Swedish krona
Singapore dollar
Thai baht
Turkish lira
New Taiwan dollar
United States dollar
South African rand
Peruvian sol
Austrian schilling
Belgian franc
French franc
Spanish peseta
Danish krone
Finnish markka
Greek Drachma
Irish punt
Iceland krona
Italian lira
Portuguese escudo
Dutch guilder
Deutsche mark
Serbian dinar
